,name,pledge
0,박영선,"21분 생활권 도시 서울, 세계 디지털 경제수도 서울 구현"
1,박영선,"21분안에 주거, 직장, 쇼핑., 여가, 건강, 의료, 교육, 보육이 해결되는 도시"
2,박영선,강남 강북 균형발전 추진
3,박영선,대전환펀드 1조원 구성
4,박영선,"블록체인 기술 기반 KS코인 운용. Al,5G 등 철단기술이 융합된 경제도시 조성"
5,박영선,"집 격정 없는 서울, 클러스터 중심 일자리창출과 서울형 창업생태계 조성"
6,박영선,평당 천만원 반값아파트 공공주택 30만호 공급
7,박영선,"청년 등 전월세 보증금 무이자 지원, 최저주거기준 주택 개선자금 지원"
8,박영선,"소상공인 임대료 30% 감면, 임대업자 15% 시비 지원"
9,박영선,"특수고용직, 플랫폼노동자, 프리랜서 등 고용보험료 지원"
10,박영선,"기후와 환경, 교통 대전환"
11,박영선,21분 녹색길 조성
12,박영선,"지하철 1,2,4호선 경의중앙선 지상구간 지하화"
13,박영선,"경부고속도로 양재-한남구간, 동서부간선도로 지하화"
14,박영선,2030년부터 내연차 신규등록 금지
15,박영선,대상별 맞춤형 돌봄과 교육으로 건강하고 행복한 공동체 서울
16,박영선,유치원 전면 무상급식 추진-어린이집 교사대비 아동비율 개선
17,박영선,"장애인, 어르신을 위한 돌봄SOS센터 인력확충"
18,박영선,원스톱 헬스케어 센터 중심 의료서비스 확대
19,박영선,"재난과 위기에 강한 서울, 세계 문화의 새로운 중심 서울"
20,박영선,"문화 패스 카드 도입과 확대, 예술인 고용산재보험 가입지원"
21,박영선,시민주도형 재난안전 협의체 구성등으로 안전관리체계 개편
22,박영선,"동물병원 진료항목 표준화, 진료비 공시제 도입"
23,오세훈,주택공급 활성화로 부동산 시장 안정화
24,오세훈,1년내 서울시 도시계획규제 혁파
25,오세훈,"재개발, 재건축 정상화로 18.5만호 추진동력 확보"
26,오세훈,도심형타운하우스 모아주택 도입으로 3만호 공급
27,오세훈,장기전세주택 시즌2 상생주택으로 7만호 공급
28,오세훈,교통소외지역 연결 및 편의증대
29,오세훈,다리공사 국내 최장기록 달성한 월드컵대교 신속 준공 및 개통
30,오세훈,티스푼공사로 13년째 공사중인 동부간선도로 확장공사 완료
31,오세훈,율곡로 도로구조개선사업 보행로 신속조성추진
32,오세훈,"면목선, 난곡선, 목동선, 우이신설연장선 4개노선 5년 내 착공 도모"
33,오세훈,"동북권, 서남권, 서북권 등 권역별 일자리, 상업, 교통, 교육 등 핵심시설을 유치하여 지역균형발전 달성"
34,오세훈,서울혁신파크 고품격 경제문화타운 재조성
35,오세훈,영등포~금천을 잇는 서남권 경제거점벨트 2.0조성
36,오세훈,창동일대를 동북지역과 북부수도권 대장주로
37,오세훈,"안전, 질병, 빈곤, 외로움, 주거 등 1인가구 5대 불안해소"
38,오세훈,"조례개정, 시의회 의결시간 단축"
39,오세훈,매트릭스형 TF조직
40,오세훈,취업교육-취업과 창업-자산형성-내집 마련으로 이어지는 실질적이고 전방위적인 터널탈출 프로젝트
41,오세훈,4차 산업형 청년 취업사관학교 설립
42,오세훈,"취업,창업 특강 라이브 제공"
43,오세훈,청년 자산불림 컨설팅 서울 영테크
44,오세훈,청년 주거안정 위한 청년 월세지원 확대
45,오세훈,청년 몽땅 정보통 제공
46,김영춘,일자리 넘치는 글로벌 경제플랫폼 도시
47,김영춘,"가덕신공항 2029년 완공, 2030 월드엑스포 유치성공"
48,김영춘,가덕신공항-부산신항-철도 트라이포트 물류 시스템 구축
49,김영춘,"가덕신공항 접근 교통망,광역교통망 구축"
50,김영춘,"북항, 영도 일원까지 경제자유구역 확대 지정"
51,김영춘,"우량 공공기관 유치, 중견,대기업 유치로 좋은 일자리 창출"
52,김영춘,안전하고 살기 좋은 녹색도시
53,김영춘,경부선 철도 지하화로 40리 경부선숲길 조성
54,김영춘,안전하고 쾌적한 보행로 조성 및 디지털 보행지도 구축
55,김영춘,스마트 수도 관리시스템 구축
56,김영춘,공공주택 5만호 공급
57,김영춘,사람종심 친환경 대중교통 시스템 구축
58,김영춘,다양성 꽃피는 글로벌 해양문화도시
59,김영춘,천문대 프로젝트 (천명 마을문화 활동가 지원사업)
60,김영춘,글로벌 해양문화도시 조성
61,김영춘,영화도시 부산 브랜드 문화상품화
62,김영춘,스포츠 생활문화 도시 부산
63,김영춘,청년문화도시 조성
64,김영춘,상생과 포용의 행복도시
65,김영춘,코로나19 국난극복과 공공의료체계 구축
66,김영춘,재난손실 소상공인 지원 및 부산시민소득 시행
67,김영춘,시민중심 자치분권 도시
68,김영춘,부산해양특별자치시 설치 추진
69,김영춘,부산시정협의회 운영
70,김영춘,시민참여형 시정 확립으로 신뢰받는 시정 구현
71,김영춘,주민참여 예산제 확대 및 청년 참여 예산제 도입
72,박형준,산학협력으로 도심형 청년일자리 구축
73,박형준,도심형 첨년 일자리 확대
74,박형준,스마트형 4차산업 일자리 확충
75,박형준,세대맞춤형 특화일자리 창출
76,박형준,부산 특화산업 일자리 조성
77,박형준,데이터기반 경제로 인공지능 산업 육성
78,박형준,15분도시로 편리한 시민생활 보장
79,박형준,50개 생활권별 공공시설 대폭 조성
80,박형준,탄소중립 시범단지 테스트베드타운조성
81,박형준,도시기반시설 재조정을 통한 적정주택 공급
82,박형준,10만호 노후아파트 리모델링 지원
83,박형준,도심형 초고속자기부상열차 어반루프 건설
84,박형준,사전타당성 조사를 위한 기초연구 즉시 추진
85,박형준,퍼스트무버도시 인적기반 구축
86,박형준,부산의 문화와 일상의 품격을 한단계 격상
87,박형준,어린이 전용도서관 조성사업
88,박형준,권역별 15분내 생활체육시설 대폭 조성
89,박형준,블록체인기반 자원봉사 은행 설립사업
90,박형준,부산오페라하우스 활성화를 위한 오페라 페스티벌 유치
91,박형준,고품질 복지로 여성과 아이들이 행복한 부산
92,박형준,저출산 예산 1조원대 증액
93,박형준,"정자,난자 보관은행 운영사업추진"
94,박형준,영유마 돌봄 확대사업 추진
95,박형준,팸테크밸리 조성
96,박형준,청년신용불량 구제지원
